<Name>,Layer1Thick,<porosity1>,<permX1>,<permY1>,AnisotropyRatio1   (X/Z),<permZ1>,Layer2Thick,<porosity2>,<permX2>,<permY2>,anisotropyRatio2   (X/Z),<permZ2>,<DomainDepth>,<zInBetweenLayers>,<AquiferLen>,<boundaryWaterTable>,<desiredTimeStep>,dX,<CellRatioX>,<nX>,dY,<CellRatioY>,<nY>,dZ,<CellRatioZ>,<nZ>,DistanceTo Contamination,<setbackDist>,Diameter LeakingPipe,<setbackPlusLeak>,<leakingYNorth>,<leakingYSouth>,LeakingFlow,<rateLeaking>,<rateExtraction>,<wellZTop>,<wellZBottom>,<wellXY>,wellDiameter,extractionFlux,<observationAtWell>,<obsTimeStep>,<warmUpTime>,Concentration,<initialConcentration>,<katt>,<kdet>,<decayAq>,<decayIm>
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.45870625722074E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.32952518920738E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.51919549144093E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.63413770280152E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.46291293553523E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.3104809636012E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,8.96847616921973E-07,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.25608673097178E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.57122093112381E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.12822286733891E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.1496730119945E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.4197042341521E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.68341291977505E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.69246742435427E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.36476859371345E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.53328220672962E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.48837253401184E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.54225216697078E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.40408269806252E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,2.03355121239644E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.00416129556395E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.28082858434397E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.93534182176435E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.62395695867722E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.50345901720889E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.54868145441288E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.27519696000868E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.28971192015684E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,2.06446007527692E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.70380275432073E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.78055815465976E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.51065872592931E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,2.0131737103497E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.68187496988173E-06,0
SandOnGravel_Domestic_2,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,9.99976503375087E-21,0,0,1.62017103685666E-06,0
